time_s,cart_x_m,theta_rad,cart_v_mps,theta_dot_radps,force_N,solve_time_ms,solver_success,solver_status,first_x_ddot_mps2,first_theta_ddot_radps2,passive_hinge_id_residual_Nm
0.900000,0.170676206,-0.007988477,0.184088452,-0.020551943,-0.117320543,3.322505,1,Solve_Succeeded,-0.100820976,0.061075496,8.673617379884e-19
0.910000,0.172505266,-0.008187388,0.183083360,-0.019990173,-0.120620422,3.039102,1,Solve_Succeeded,-0.103398604,0.057630377,0.000000000000e+00
0.920000,0.174323986,-0.008380535,0.182053708,-0.019416051,-0.120620422,3.039102,1,Solve_Succeeded,-0.103398604,0.057630377,0.000000000000e+00
0.930000,0.176132394,-0.008568460,0.181022671,-0.018886033,-0.123749933,3.524159,1,Solve_Succeeded,-0.105845193,0.054403912,0.000000000000e+00
0.940000,0.177930216,-0.008750945,0.179968331,-0.018344098,-0.123749933,3.524159,1,Solve_Succeeded,-0.105845193,0.054403912,0.000000000000e+00
0.950000,0.179717480,-0.008928500,0.178912667,-0.017843796,-0.126717879,2.866389,1,Solve_Succeeded,-0.108167374,0.051382021,8.673617379884e-19
0.960000,0.181493927,-0.009100916,0.177834895,-0.017332004,-0.126717879,2.866389,1,Solve_Succeeded,-0.108167374,0.051382021,8.673617379884e-19
0.970000,0.183259581,-0.009268678,0.176755858,-0.016859514,-0.129532504,2.567934,1,Solve_Succeeded,-0.110371357,0.048551527,0.000000000000e+00
0.980000,0.185014199,-0.009431584,0.175655846,-0.016375954,-0.129532504,2.567934,1,Solve_Succeeded,-0.110371357,0.048551527,0.000000000000e+00
0.990000,0.186757802,-0.009590091,0.174554626,-0.015929494,-0.132201529,2.958489,1,Solve_Succeeded,-0.112462961,0.045900096,8.673617379884e-19
1.000000,0.188490158,-0.009744008,0.173433508,-0.015472376,-0.132201529,2.958489,1,Solve_Succeeded,-0.112462961,0.045900096,8.673617379884e-19
1.010000,0.190211290,-0.009893766,0.172311237,-0.015050281,-0.134732183,3.060379,1,Solve_Succeeded,-0.114447634,0.043416187,0.000000000000e+00
1.020000,0.191920977,-0.010039182,0.171170091,-0.014617930,-0.134732183,3.060379,1,Solve_Succeeded,-0.114447634,0.043416187,0.000000000000e+00
1.030000,0.193619240,-0.010180664,0.170027845,-0.014218641,-0.137131241,3.063717,1,Solve_Succeeded,-0.116330481,0.041088999,0.000000000000e+00
1.040000,0.195305870,-0.010318037,0.168867699,-0.013809493,-0.137131241,3.063717,1,Solve_Succeeded,-0.116330481,0.041088999,0.000000000000e+00
1.050000,0.196980885,-0.010451686,0.167706503,-0.013431551,-0.139405048,2.800187,1,Solve_Succeeded,-0.118116282,0.038908422,8.673617379884e-19
1.060000,0.198644090,-0.010581443,0.166528335,-0.013044139,-0.139405048,2.800187,1,Solve_Succeeded,-0.118116282,0.038908422,8.673617379884e-19
1.070000,0.200295500,-0.010707674,0.165349165,-0.012686181,-0.141559548,2.731595,1,Solve_Succeeded,-0.119809521,0.036864995,-8.673617379884e-19
1.080000,0.201934930,-0.010830217,0.164153909,-0.012319136,-0.141559548,2.731595,1,Solve_Succeeded,-0.119809521,0.036864995,-8.673617379884e-19
1.090000,0.203562396,-0.010949417,0.162957698,-0.011979886,-0.143600313,2.906505,1,Solve_Succeeded,-0.121414395,0.034949864,0.000000000000e+00
1.100000,0.205177721,-0.011065123,0.161746244,-0.011631926,-0.143600313,2.906505,1,Solve_Succeeded,-0.121414395,0.034949864,0.000000000000e+00
1.110000,0.206780920,-0.011177657,0.160533880,-0.011310189,-0.145532564,2.682455,1,Solve_Succeeded,-0.122934842,0.033154745,0.000000000000e+00
1.120000,0.208371826,-0.011286875,0.159307080,-0.010980115,-0.145532564,2.682455,1,Solve_Succeeded,-0.122934842,0.033154745,0.000000000000e+00
1.130000,0.209950454,-0.011393084,0.158079413,-0.010674776,-0.147361193,2.863006,1,Solve_Succeeded,-0.124374551,0.031471882,0.000000000000e+00
1.140000,0.211516644,-0.011496146,0.156838079,-0.010361465,-0.147361193,2.863006,1,Solve_Succeeded,-0.124374551,0.031471882,0.000000000000e+00
1.150000,0.213070411,-0.011596349,0.155595922,-0.010071481,-0.149090789,2.912247,1,Solve_Succeeded,-0.125736983,0.029894020,0.000000000000e+00
1.160000,0.214611605,-0.011693563,0.154340834,-0.009773885,-0.149090789,2.912247,1,Solve_Succeeded,-0.125736983,0.029894020,0.000000000000e+00
1.170000,0.216140238,-0.011788059,0.153084963,-0.009498278,-0.150725653,3.709471,1,Solve_Succeeded,-0.127025384,0.028414368,-8.673617379884e-19
1.180000,0.217656169,-0.011879714,0.151816867,-0.009215416,-0.150725653,3.709471,1,Solve_Succeeded,-0.127025384,0.028414368,-8.673617379884e-19
1.190000,0.219159410,-0.011968784,0.150548028,-0.008953274,-0.152269820,2.927351,1,Solve_Succeeded,-0.128242796,0.027026570,0.000000000000e+00
1.200000,0.220649827,-0.012055152,0.149267638,-0.008684228,-0.152269820,2.927351,1,Solve_Succeeded,-0.128242796,0.027026570,0.000000000000e+00
1.210000,0.222127432,-0.012139058,0.147986543,-0.008434696,-0.153727073,2.639640,1,Solve_Succeeded,-0.129392077,0.025724680,0.000000000000e+00
